S,S_RT_present,S_RT_absent,S_conf_present,S_conf_absent,S_hit,S_fa,A,A_RT_present,A_RT_absent,A_conf_present,A_conf_absent,A_hit,A_fa
-0.003804748757503887,0.020464852607709756,0.009462396069538928,-0.054152484683458166,-0.016368081323438474,0.7619047619047619,0.1806070665445665,-0.02535092327790184,-0.0032690854119425536,-0.021565570672713554,-0.048509721487662694,-0.019342010646358467,0.642150445835705,0.12053571428571426
-0.04559395738067723,0.028322625346434885,-0.02363945578231294,-0.061458600396653545,-0.0074188955885384445,0.6975024295432457,0.1622125435540069,-0.042245038302188814,0.01377551020408163,0.014125094482237342,-0.039343377211024266,-0.037169352386743675,0.6287387645821382,0.13968801313628898
-0.03491625875210315,0.03762440161249687,-0.02426303854875285,-0.05851749037589745,-0.02265351216244072,0.6895829316881947,0.16730235783633834,-0.03841741368509055,0.010298563869992457,0.009722222222222222,-0.025858394056923473,-0.05596925216490435,0.6405718110537387,0.15182710974077882
-0.000977196131001362,0.031076782564877795,0.018976757369614516,-0.04790705852652755,-0.05353857452071737,0.749136786188579,0.20810853076862923,-0.01806667120568081,0.017928004535147386,0.018792517006802716,-0.04595765753853991,-0.03297624275885146,0.6814916154633893,0.129518779342723
-0.005461228495216117,0.011252834467120177,0.002834467120181402,-0.049594825037302906,-0.07739093743558031,0.7322922691343742,0.20563570255688496,-0.004685172734175517,-0.01179138321995465,0.020904195011337872,-0.05304897308573779,-0.04193274519361474,0.6951132872503837,0.17112479474548434
0.013224814155669904,0.01362433862433862,0.0060043461829176106,-0.04384791707800558,-0.065163110698825,0.7644297235023042,0.20863814124683705,0.003991146474532858,-0.007138133030990165,-0.0029525699168556256,-0.02069984753808284,-0.05981470220600655,0.7076266363118953,0.16190476190476186
-0.02144501620617582,0.04249496094734191,-0.008848261526832954,-0.0539676891446803,-0.07121147701504846,0.7153433754454163,0.20450693965186725,0.02806057134103914,-0.02056878306878307,-0.006160241874527586,-0.06824558203234676,-0.061039845822454496,0.7502518008542103,0.17261078042328035
-0.05430665043718215,0.047058453010833966,0.007345993953136818,-0.11323595283772278,-0.031823013296227574,0.6617087397207879,0.17854819976771194,0.009894602041729771,0.007048374905517764,0.0018565759637188277,-0.03571228607993313,-0.04583264963699745,0.7500578368999418,0.17665667665667661
-0.04339834019880526,0.024237843285462333,-0.005205971277399848,-0.07108682860895253,-0.02963370954442382,0.6725470430107527,0.16924315619967792,0.009476223055808211,0.029072184429327283,-0.00046296296296295116,-0.0725277173806586,-0.08784971067579764,0.6953933051715312,0.15571763916834333
-0.01391434498146291,0.010347379692617788,-0.017602040816326568,-0.06125013138287474,-0.06908240568954853,0.7094761904761906,0.18212543554006974,-0.008376437393681588,0.02181122448979592,0.006098828420256995,-0.04492415264474086,-0.103181178724657,0.6610950453055715,0.15150510204081627
-0.0007001752928069673,0.01758944318468127,-0.016232048374905515,-0.025402080711815215,-0.012796330653473496,0.7560104529616725,0.21674831016936283,-0.0326914457273002,-0.008082955404383977,0.0017951625094482307,-0.05417533855033858,-0.02961527200657634,0.6487607338017174,0.1392526455026455
0.00683778701190757,-0.018227198286722097,0.03510959939531366,-0.06175049139650908,-0.016081413626056477,0.7746333333333332,0.20389663182346107,-0.022493293640719423,0.03248771730914588,0.036290627362055905,-0.05871824254177195,-0.035052065486848076,0.6409131803868645,0.14545606975184436
0.006446060309959989,0.027628180901990443,-0.013066893424036278,-0.044935276129966395,-0.04084660379303236,0.7630142857142852,0.21755233494363932,-0.010008235089340184,0.030451625094482238,0.011663832199546491,-0.03806226453285277,-0.09733084950476252,0.659969841269841,0.1593561368209255
-0.021937145551748714,0.04798122952884854,-0.005314625850340124,-0.04257401890145253,-0.016991986188414767,0.6770128131573918,0.17982516678168856,-0.017364486674037716,0.020833333333333336,-0.0064814814814814796,-0.0668743633817163,-0.03809395113742939,0.6602935551730733,0.16152749832327287
-0.03149143389131546,0.008593159486016631,-0.041761148904006035,-0.06585901807140748,-0.009371134817563392,0.7119671658986172,0.18716356107660453,-0.04253016373192533,0.009835600907029477,0.0007275132275132344,-0.04895331384301968,-0.05942411051106705,0.6357933281713771,0.1711943342151675
-0.014265568902601066,0.014854182413706233,-0.03331443688586548,0.006446012198224588,-0.030353277674706226,0.7296398046398047,0.1616129785247431,-0.011145391776485167,0.005753968253968252,-0.0026974678760393,-0.03604640865670276,-0.023184001988349804,0.6971523809523809,0.17011322011322008
0.00529070963314741,-0.019283824640967496,-0.028221844293272878,-0.052837845536960575,-0.012169526901669763,0.7567667495378338,0.16355266244428807,0.006531594964033155,-0.01669501133786848,-0.029473733938019657,0.022864043636102463,-0.053721761330457,0.6873605533244088,0.15673752834467117
0.0026080072523907514,0.010268644494834969,0.00670823885109598,-0.00825781887728791,-0.02309317666460523,0.7534082181259604,0.18037447988904295,-0.014634218120319096,-0.006108276643990927,-0.017375283446712016,-0.008868296735943802,-0.014656157047461395,0.6907621618147934,0.10555281882868091
